"DataSet","Location_ID","UpperDepth","LowerDepth","OrigPropertyCode","ObservedProperty","Value","Units"
"QLDGovernment","SPFD_3_1",0,0.1,"10A1","10A1","0.0200","%"
"QLDGovernment","SPFD_3_1",0,0.1,"10B3","10B3","8","mg/kg"
"QLDGovernment","SPFD_3_1",0,0.1,"15C1_Ca",NA,"4.2300","None"
"QLDGovernment","SPFD_3_1",0,0.1,"15C1_CEC","15C1_CEC","16","meq/100g"
"QLDGovernment","SPFD_3_1",0,0.1,"15C1_K","15C1_K","0.3100","meq/100g"
"QLDGovernment","SPFD_3_1",0,0.1,"15C1_Mg",NA,"6.1700","None"
"QLDGovernment","SPFD_3_1",0,0.1,"15C1_Na",NA,"0.5300","None"
"QLDGovernment","SPFD_3_1",0,0.1,"15N1","15N1","3.3000","%"
"QLDGovernment","SPFD_3_1",0,0.1,"17A1","17A1","0.1600","%"
"QLDGovernment","SPFD_3_1",0,0.1,"18B1","18B1","0.3000","mg/kg"
"QLDGovernment","SPFD_3_1",0,0.1,"2A1","2A1","1.6000","%"
"QLDGovernment","SPFD_3_1",0,0.1,"2E1","2E1","9.3000","NA"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z1_R1","2Z1_R1","0.5200","NA"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z2_Clay","2Z2_Clay","24","%"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z2_CS","2Z2_CS","21","%"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z2_FS","2Z2_FS","44","%"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z2_Silt","2Z2_Silt","13","%"
"QLDGovernment","SPFD_3_1",0,0.1,"2Z2_sum",NA,"102","None"
"QLDGovernment","SPFD_3_1",0,0.1,"3A1","3A1","0.0300","dS/m"
"QLDGovernment","SPFD_3_1",0,0.1,"4A1","4A1","6.4000","NA"
"QLDGovernment","SPFD_3_1",0,0.1,"5A2","5A2","20","mg/kg"
"QLDGovernment","SPFD_3_1",0,0.1,"6A1","6A1","1.1000","%"
"QLDGovernment","SPFD_3_1",0,0.1,"7A2","7A2","0.0900","%"
"QLDGovernment","SPFD_3_1",0,0.1,"7B1","7B1","2","mg/kg"
"QLDGovernment","SPFD_3_1",0,0.1,"9A1","9A1","0.0300","%"
"QLDGovernment","SPFD_3_1",0,0.1,"9B2","9B2","4","mg/kg"
"QLDGovernment","SPFD_3_1",0,0.1,"9G2","9G2","13","mg/kg"
"QLDGovernment","SPFD_3_1",0.2,0.3,"10A1","10A1","0.0200","%"
"QLDGovernment","SPFD_3_1",0.2,0.3,"10B3","10B3","22","mg/kg"
"QLDGovernment","SPFD_3_1",0.2,0.3,"15C1_Ca",NA,"7.2300","None"
"QLDGovernment","SPFD_3_1",0.2,0.3,"15C1_CEC","15C1_CEC","31","meq/100g"
"QLDGovernment","SPFD_3_1",0.2,0.3,"15C1_K","15C1_K","0.1700","meq/100g"
"QLDGovernment","SPFD_3_1",0.2,0.3,"15C1_Mg",NA,"15.7700","None"
"QLDGovernment","SPFD_3_1",0.2,0.3,"15C1_Na",NA,"3.9500","None"
